im_path,class,target
datasets/Alzheimer_dataset/train/MildDemented/mildDem0.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem1.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem10.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem100.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem101.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem102.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem103.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem104.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem105.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem106.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem107.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem108.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem109.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem11.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem110.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem111.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem112.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem113.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem114.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem115.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem116.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem117.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem118.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem119.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem12.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem120.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem121.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem122.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem123.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem124.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem125.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem126.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem127.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem128.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem129.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem13.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem130.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem131.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem132.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem133.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem134.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem135.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem136.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem137.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem138.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem139.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem14.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem140.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem141.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem142.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem143.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem144.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem145.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem146.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem147.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem148.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem149.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem15.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem150.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem151.jpg,MildDemented,1
datasets/Alzheimer_dataset/train/MildDemented/mildDem152.jpg,MildDemented,1
